Temp,Windspeed,Wind direction,Atmospheric,Insolation,Rain,SIS11A_12.5-X,SIS11A_13.0-X,SIS11A_13.5-X,SIS11A_14.0-X,SIS11A_14.5-X,SIS11A_15.0-X,SIS11A_15.5-X,SIS11A_16.0-X,SIS11A_16.5-X,SIS11A_17.0-X,SIS11A_17.5-X,SIS11A_18.0-X,SIS20_15.0-X,SIS20_15.5-X,SIS20_16.0-X,SIS20_16.5-X,SIS20_17.0-X,SIS20_17.5-X,SIS20_18.0-X,SIS20_18.5-X,SIS20_19.0-X,SIS20_19.5-X,SIS20_20.0-X,SIS20_20.5-X
23.4,0.9,297,851.7,0,2,171.0549927,171.0160065,174.8419952,175.7299957,175.4140015,146.2980042,-8.515000343,-25.32900047,-17.01399994,-17.52199936,-8.26099968,-1.690000057,182.7579956,178.8220062,177.2949982,161.595993,127.3209991,50.34799957,19.91300011,8.298000336,6.552000046,1.083999991,4.423999786,-0.349999994
22.5,1.1,4,848.9,0,3,171.0619965,170.9790039,174.8370056,175.8209991,175.6130066,146.4140015,-8.380999565,-25.11800003,-16.87299919,-17.35400009,-8.097000122,-1.592000008,182.6069946,178.7030029,177.276001,161.6609955,127.4209976,50.40200043,19.97299957,8.343000412,6.550000191,1.001999974,4.382999897,-0.407000005
22.4,1.3,286,849.3,0,4,171.2149963,171.0709991,174.8580017,175.8849945,175.6699982,146.4429932,-8.394000053,-25.19400024,-16.83200073,-17.34499931,-8.088999748,-1.59800005,182.4649963,178.5879974,177.1779938,161.4989929,127.2659988,50.31299973,19.87899971,8.295999527,6.52699995,1.006000042,4.377999783,-0.412999988
22.3,2.9,261,852.1,0,13.5,171.1990051,171.1179962,174.9309998,175.9450073,175.6860046,146.5010071,-8.340000153,-25.12299919,-16.83399963,-17.29299927,-8.06799984,-1.610000014,182.3899994,178.6080017,177.2059937,161.5650024,127.348999,50.38999939,19.90999985,8.342000008,6.606999874,1.082999945,4.497000217,-0.310000002
22.5,3.3,263,848.5,0,8.5,170.9790039,170.9060059,174.8079987,175.8289948,175.5549927,146.3699951,-8.402999878,-25.19199944,-16.90200043,-17.36199951,-8.142999649,-1.646000028,182.4329987,178.5709991,177.1230011,161.4779968,127.2740021,50.24200058,19.85300064,8.305000305,6.519999981,0.980000019,4.337999821,-0.44600001
22.6,3.4,255,848.2,0,22.5,171.220993,171.1060028,174.9490051,175.9380035,175.6130066,146.3970032,-8.451000214,-25.25099945,-16.85000038,-17.38599968,-8.100000381,-1.592000008,182.2460022,178.4060059,177.0890045,161.4960022,127.2409973,50.18600082,19.73600006,8.177000046,6.423999786,0.934000015,4.308000088,-0.49000001
22.5,3.2,259,847.4,0,12,171.2230072,171.1470032,174.9369965,175.9490051,175.6710052,146.4819946,-8.324000359,-25.08399963,-16.84600067,-17.34499931,-8.05300045,-1.603999972,182.3249969,178.375,176.9589996,161.4290009,127.1299973,50.20600128,19.79999924,8.173000336,6.422999859,0.907000005,4.296000004,-0.456
22.7,3.2,258,849.8,0,1.5,170.9620056,170.845993,174.6390076,175.6340027,175.352005,146.2129974,-8.616999626,-25.37000084,-16.98699951,-17.47699928,-8.142999649,-1.616000056,182.2859955,178.4929962,177.1009979,161.4559937,127.2600021,50.33599854,19.89800072,8.31400013,6.519000053,1.001000047,4.452000141,-0.400000006
22.7,3,257,848.9,0,5,171.302002,171.1360016,174.977005,175.8990021,175.6009979,146.4279938,-8.468000412,-25.23800087,-16.83399963,-17.29400063,-8.098999977,-1.623000026,182.7559967,178.8359985,177.4190063,161.7830048,127.473999,50.47800064,19.98200035,8.302000046,6.550000191,1.01699996,4.421999931,-0.379000008
22.5,3.3,250,850,0,10.5,171.3419952,171.2389984,175.0829926,176.0350037,175.7250061,146.5789948,-8.305000305,-25.06399918,-16.72400093,-17.25099945,-8.097999573,-1.618999958,182.5370026,178.6889954,177.220993,161.6309967,127.3619995,50.39799881,20.03100014,8.406000137,6.573999882,1.034999967,4.431000233,-0.426999986
22.8,2.4,263,851.4,0,16.5,171.3370056,171.2079926,175.0370026,175.9839935,175.6649933,146.5039978,-8.296999931,-25.06999969,-16.83099937,-17.35199928,-8.163000107,-1.652999997,182.6430054,178.8639984,177.3650055,161.7050018,127.4169998,50.42900085,20.02400017,8.44699955,6.640999794,1.113000035,4.418000221,-0.384000003
22.6,2.9,254,852.1,0,2.5,170.9259949,170.8320007,174.6750031,175.6360016,175.3320007,146.1100006,-8.741999626,-25.45700073,-17.02400017,-17.50300026,-8.213000298,-1.70599997,182.5820007,178.7050018,177.2960052,161.5820007,127.2770004,50.25699997,19.9279995,8.298999786,6.552999973,1.093999982,4.436999798,-0.421000004
22.3,2.5,251,852.6,0,1.5,171.2380066,171.1369934,174.9519958,175.9219971,175.6419983,146.4320068,-8.427000046,-25.18899918,-16.92700005,-17.42300034,-8.145999908,-1.572999954,182.3289948,178.4909973,177.1529999,161.4380035,127.1279984,50.19400024,19.81599998,8.234000206,6.434000015,0.963,4.376999855,-0.416000009
22.4,2.1,261,849.9,0,5,171.2480011,171.0310059,174.8699951,175.8500061,175.5939941,146.3880005,-8.406999588,-25.20499992,-16.85000038,-17.40099907,-8.178999901,-1.671000004,182.5189972,178.6519928,177.1889954,161.5870056,127.2860031,50.31200027,19.85099983,8.296999931,6.519999981,1.029000044,4.388000011,-0.395999998
22.2,3.2,252,853.5,0,4.5,171.4320068,171.2850037,175.0359955,176.0140076,175.7630005,146.5420074,-8.340000153,-25.13199997,-16.83099937,-17.32799911,-8.031999588,-1.547999978,182.3869934,178.5420074,177.0679932,161.4279938,127.2340012,50.30599976,19.8920002,8.355999947,6.585999966,1.072999954,4.433000088,-0.358999997
22.2,2.5,258,851.7,0,3.5,171.4949951,171.3410034,175.1269989,176.1069946,175.8139954,146.5559998,-8.30700016,-25.13199997,-16.87000084,-17.40200043,-8.095999718,-1.610999942,182.5359955,178.6970062,177.2389984,161.7230072,127.4309998,50.36399841,19.87999916,8.291999817,6.53000021,0.990999997,4.40500021,-0.386000007
21.9,2,254,850,0,5.5,171.2140045,171.1390076,174.9450073,175.822998,175.5110016,146.2689972,-8.534000397,-25.34600067,-16.95899963,-17.42399979,-8.112999916,-1.636999965,182.6549988,178.7570038,177.2929993,161.6130066,127.362999,50.35599899,19.92499924,8.324000359,6.563000202,1.036000013,4.364999771,-0.425999999
21.7,2.7,248,849.8,0,1,171.572998,171.3890076,175.2089996,176.1049957,175.8179932,146.572998,-8.25,-25.07299995,-16.87199974,-17.34600067,-8.152000427,-1.656000018,182.4889984,178.5610046,177.1329956,161.4819946,127.2949982,50.27299881,19.86899948,8.236000061,6.518000126,1.016000032,4.369999886,-0.430000007
21.6,2.4,249,852.7,0,6,171.529007,171.4080048,175.1529999,176.0070038,175.7519989,146.4779968,-8.354000092,-25.13800049,-16.80699921,-17.31699944,-8.088000298,-1.598999977,182.7429962,178.8650055,177.447998,161.7969971,127.5630035,50.59199905,20.13199997,8.491000175,6.668000221,1.083999991,4.412000179,-0.338
21.4,2.3,247,849.8,0,1,171.4029999,171.2910004,175.1390076,176.0189972,175.7230072,146.4579926,-8.43200016,-25.15800095,-16.86300087,-17.33799934,-8.152000427,-1.618000031,182.7689972,178.9629974,177.5099945,161.8390045,127.4940033,50.5530014,20.01099968,8.329999924,6.583000183,1.075999975,4.434000015,-0.402999997
